Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Salesforce Uk Ltd-Uk,Sales & Marketing,"$3,117,226",CRM platform for sales and customer relationship management,Optimize
Navan (Tripactions Inc),Travel & Transportation,"$357,984",Corporate travel management and expense reporting platform,Optimize
Bdo Llp,Finance & Accounting,"$343,081",Audit and accounting firm providing financial services,Optimize
Tog Uk Properties Limited,Real Estate & Facilities,"$263,821",UK office real estate and property management services,Optimize
Cloudcrossing Bvba,Engineering,"$208,675",Cloud infrastructure and IT consulting services,Optimize
Zagrebtower D.O.O.,G&A,"$183,754",Local service provider,Optimize
Innovent Spaces Private Limited,Real Estate & Facilities,"$147,348",Office real estate and property services,Optimize
Weking D.O.O.,G&A,"$144,093",Office workspace provider,Optimize
Jensten Insurance Brokers,Insurance,"$142,700",Insurance brokerage and advisory services,Consolidate
Gpt Space & Co,Real Estate & Facilities,"$133,507",Office real estate and property services,Optimize
Aetna Life And Casualty Ltd,Insurance,"$124,661",Health and employee benefits insurance,Optimize
Rsm Uk Corporate Finance Llp,Finance & Accounting,"$117,078",Audit and financial advisory services,Optimize
Amazon Web Services Llc,Engineering,"$106,399",Cloud computing platform providing infrastructure and services,Optimize
Telefonica Global Services Gmbh,IT Support & Infrastructure,"$89,880",Telecommunications and network services,Optimize
Hr Solution International Gmbh,HR & Recruitment,"$80,823",Human resources and employee management platform,Optimize
4I Advisory Services,Sales & Marketing,"$71,860",Management consulting and advisory services,Optimize
Bisley Law Ltd,Legal & Compliance,"$67,414",Corporate law and legal advisory services,Optimize
Infosys,Engineering,"$66,570",IT consulting and software development services firm,Optimize
Big Frontier Pty Ltd (Cult Of Monday),G&A,"$66,131",Work execution and project planning,Optimize
Harmonic Group Limited,G&A,"$65,418",Harmonic Group Limited services and solutions,Optimize
Wework Singapore Pte. Ltd.,Real Estate & Facilities,"$64,373",Flexible office space and coworking solutions,Optimize
Cloud Technology Solutions Ltd,Engineering,"$60,661",Business services provider,Optimize
"Navan, Inc",Travel & Transportation,"$57,929",Corporate travel management and expense reporting,Optimize
Tmforum,G&A,"$57,560",Tmforum provider,Optimize
