VENDOR ANALYSIS METHODOLOGY,
,
Phase 1: Data Classification,
Tool/Script,vendor_analyzer.py
Approach,Keyword-based department classification with 50+ rules
Key Rule Categories,"Cloud/Infrastructure, Travel, Real Estate, Insurance, Finance, HR, Legal, Software, Sales, Telecom, Consulting"
Output,Department assignment + Strategic Recommendation (Terminate/Consolidate/Optimize)
,
Phase 2: Description Enhancement,
Tool/Script,description_enhancer.py
Approach,Pattern matching with 100+ vendor-specific rules
Output,Concise 1-line descriptions of vendor service
,
Phase 3: Opportunity Identification,
Tool/Script,opportunity_analyzer.py
Approach,Segmented analysis by department and vendor type
Benchmark Rates,"SaaS consolidation 15-20%, Negotiated services 20-25%, Policy optimization 10-15%"
Output,Top 3 opportunities with financial targets and implementation roadmaps
,
Quality Assurance,
Completeness Check,"✓ All 386 vendors have department, description, and recommendation"
Validity Check,✓ Departments match predefined list of 12 categories
Recommendation Check,"✓ All recommendations are Terminate, Consolidate, or Optimize"
Logical Consistency,✓ High-value vendors not wrongly marked for termination
Description Quality,✓ Descriptions are specific and avoid generic language
,
Spend Analysis Results,
Total Vendors Analyzed,386
Total Annual Spend,"$7,887,359"
Vendors Marked for Termination,182 (47.2%)
Vendors Marked for Optimization,198 (51.3%)
Vendors Marked for Consolidation,6 (1.6%)
,
Spend by Department,Amount,% of Total
Sales & Marketing,"$3,418,186",43.3%
G&A,"$1,282,671",16.3%
Real Estate & Facilities,"$652,441",8.3%
Finance & Accounting,"$625,344",7.9%
Engineering,"$517,539",6.6%
Travel & Transportation,"$461,712",5.9%
Insurance,"$350,056",4.4%
HR & Recruitment,"$274,542",3.5%
IT Support & Infrastructure,"$140,266",1.8%
Legal & Compliance,"$84,385",1.1%
Consulting & Advisory,"$66,770",0.8%
Communications,"$13,447",0.2%
