Vendor Name,Department,Cost,Description,Recommendation
Salesforce Uk Ltd-Uk,Sales & Marketing,"$3,117,226",CRM platform for sales and customer relationship management,Optimize
Navan (Tripactions Inc),Travel & Transportation,"$357,984",Corporate travel management and expense reporting platform,Optimize
Bdo Llp,Finance & Accounting,"$343,081",Audit and accounting firm providing financial services,Optimize
Tog Uk Properties Limited,Real Estate & Facilities,"$263,821",UK office real estate and property management services,Optimize
Cloudcrossing Bvba,Engineering,"$208,675",Cloud infrastructure and IT services provider,Optimize
Zagrebtower D.O.O.,G&A,"$183,754",Zagrebtower D.O.O. provides specialized services and solutions,Optimize
Innovent Spaces Private Limited,Real Estate & Facilities,"$147,348",Innovent Spaces Private Limited provides specialized services and solutions,Optimize
Weking D.O.O.,G&A,"$144,093",Weking D.O.O. provides specialized services and solutions,Optimize
Jensten Insurance Brokers,Insurance,"$142,700",Jensten Insurance Brokers provides specialized services and solutions,Consolidate
Gpt Space & Co,Real Estate & Facilities,"$133,507",Gpt Space & Co provides specialized services and solutions,Optimize
Aetna Life And Casualty Ltd,Insurance,"$124,661",Health insurance and benefits provider,Optimize
Rsm Uk Corporate Finance Llp,Finance & Accounting,"$117,078",Rsm Uk Corporate Finance provides specialized services and solutions,Optimize
Amazon Web Services Llc,Engineering,"$106,399",Cloud computing platform providing infrastructure and services,Optimize
Telefonica Global Services Gmbh,IT Support & Infrastructure,"$89,880",Telecommunications and network services,Optimize
Hr Solution International Gmbh,HR & Recruitment,"$80,823",HR management and payroll solutions provider,Optimize
4I Advisory Services,Sales & Marketing,"$71,860",4I Advisory Services provides specialized services and solutions,Optimize
Bisley Law Ltd,Legal & Compliance,"$67,414",Legal services and corporate law firm,Optimize
Infosys,Engineering,"$66,570",IT consulting and software development services firm,Optimize
Big Frontier Pty Ltd (Cult Of Monday),G&A,"$66,131",Project management and team collaboration tool,Optimize
Harmonic Group Limited,G&A,"$65,418",Harmonic Group Limited provides specialized services and solutions,Optimize
Wework Singapore Pte. Ltd.,Real Estate & Facilities,"$64,373",Flexible office space and coworking provider,Optimize
Cloud Technology Solutions Ltd,Engineering,"$60,661",Cloud Technology Solutions provides specialized services and solutions,Optimize
